Work Item Type,Title 1,Title 2,Title 3,Description,State,Tags
User Story,,,Assess Operations Maturity,"As a Digital Advisor, I need to assess the Customer's existing Data Governance and Operations Maturity and consider which Adoption and Change Management elements are needed for data-driven organizational readiness<font face=""Segoe UI, Segoe UI_EmbeddedFont, Segoe UI_MSFontService, sans-serif""><span style=""font-size:13.3333px;""><br></span></font>",New,
Epic,Shared Data Services,,,"<div><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;"">This Epic creates Jump-Start Kit tools&nbsp;<span>that&nbsp;</span></span><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;"">allow<span>&nbsp;</span></span><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;"">EDS<span>&nbsp;</span></span><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;"">to<span>&nbsp;</span></span><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;"">focus on<span>&nbsp;</span></span><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;"">b</span><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;"">usiness outcomes and<span>&nbsp;</span></span><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;"">to<span>&nbsp;</span></span><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;"">demonstrat</span><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;"">e</span><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;""><span>&nbsp;</span></span><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;"">the<span>&nbsp;</span></span><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;"">value back to the<span>&nbsp;</span></span><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;"">organization</span><span style=""margin:0px;font-family:&quot;Segoe UI&quot;, &quot;Segoe UI_EmbeddedFont&quot;, &quot;Segoe UI_MSFontService&quot;, sans-serif;font-size:13.3333px;text-align:left;"">.</span><br></div>",New,
Feature,,Data Lake,,"<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">This feature provides a set of artefacts which will encompass a&nbsp;<span style=""box-sizing:border-box;display:inline !important;"">Data Lake capability to support the Data Strategy.</span>&nbsp;This is captured in the following capabilities:</span></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;""><ul style=""box-sizing:border-box;padding:0px 0px 0px 40px;""><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Configuration of zones within the Data Lake repository</div></span></li><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Design and implementation of security and access boundaries around the Data Lake</div></span></li><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Implementation of a hierarchical namespace structure to map to the logical zones</div></span></li><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Provisioning of JumpStart Deployment artefacts realised as Infrastructure-as-Code and PowerShell</div></span></li><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Configuration of telemetry, monitoring and alerting functionality</div></span></li></ul></div></span></div><br><br></div>",New,
User Story,,,Design Data Lake zones required for Data Lake,"<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">As a Data Engineer</span><br style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;display:inline !important;"">I need to produce a design of the Data Lake comprising the different zones&nbsp;</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;display:inline !important;"">So that I can enable format-agnostic data sources&nbsp;<span style=""box-sizing:border-box;display:inline !important;"">to be ingested, persisted and used within the JumpStart Data Lake</span></span></div><br></div>",New,
User Story,,,Design of initial security and access boundaries around the Data Lake,"<div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">As a Data Engineer</span><br style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;text-align:left;display:inline !important;"">I need to produce a design of security and access boundaries around the Data Lake&nbsp;</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;text-align:left;display:inline !important;"">So that I can ensure that data sources are persisted and protected.</span><br style=""box-sizing:border-box;""></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;text-align:left;display:inline !important;""><br style=""box-sizing:border-box;""></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;text-align:left;display:inline !important;"">Implementation Guidance:</span></div><div style=""box-sizing:border-box;""><ul><li><span style=""box-sizing:border-box;"">Identify the personas who will use the Data Lake and detail interactions</span></li><li>Detail process interactions between access boundaries for the Data Lake</li></ul></div></div>",New,
User Story,,,Implement Hierarchical Namespace structure for Data Lake,"<div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;display:inline !important;"">As a Data Engineer</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;display:inline !important;"">I need to produce a Hierarchical Namespace structure&nbsp;</span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;display:inline !important;"">So that I can enable the creation of filesystems / folders within the Data Lake</span></div><br></div>",New,
User Story,,,Configure and provision JumpStart deployment artifacts,<div>As a Data Engineer</div><div>I need to&nbsp;configure and provision the JumpStart Data Lake deployment artifacts&nbsp;</div><div>So that I can implement the Data Lake required for the Data Strategy</div>,New,
User Story,,,Define Azure AD groups aligned to Data Lake HNS structure,"<div><div style=""box-sizing:border-box;"">As a Data Engineer</div><div style=""box-sizing:border-box;"">I need to create and assign the Azure AD groups aligned to the FileSystems and Folder structures defined in the Data Lake Access Model&nbsp;</div><div style=""box-sizing:border-box;"">So that access to the Data Lake is secured and defined.</div><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""></div><br></div>",New,
User Story,,,Define and grant access to the Data Lake,"<div><div style=""box-sizing:border-box;"">As a Data Engineer</div><div style=""box-sizing:border-box;"">I need to secure the access to the shared Data Lake</div><div style=""box-sizing:border-box;"">So that systems and users have the right level of permissions only to the data they need</div><br></div>",New,
Feature,,Ingestion for Compute Service,,<div>This Feature eliminates the need for staging and allows publishers to publish data into the Data Lakes supporting multiple fabrics.&nbsp;</div>,New,
User Story,,,Configure Data Gateway ,"<div>As a Data Engineer, I need to create a Data Gateway that will allow me to securely ingest the Customer's on-premise data</div>",New,
User Story,,,Azure Data Factory Pipelines,"<div>As a Data Engineer, I need to create ADF Pipelines utilizing Azure Integration Runtime to connect to the On-Prem data through the Data Gateway and orchestrate the data into the Raw Landing Zone in my Data Lake</div>",New,
Feature,,Data Catalog Service,,"<div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">This feature provides a set of artefacts which will encompass a&nbsp;<span style=""box-sizing:border-box;display:inline !important;"">Data Catalog service to support the Data Strategy.</span>&nbsp;This is captured in the following capabilities:</span></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;""><ul style=""box-sizing:border-box;padding:0px 0px 0px 40px;""><li style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Identification of data sources to govern</div></li><li style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Provision Azure Purview service</div></li><li style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Configure data sources for metadata collection</div></li><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Register Data Orchestrator with Azure Purview</div></span></li></ul></div></span></div><br>",New,
User Story,,,Configure Azure Purview,"<div>As a Data Engineer, I need to provision an Azure Purview service as a Central Data Management Tool that allows the customer to gain insights into their metadata stored in the Data Lakes</div>",New,
User Story,,,Identify Data Sources to Govern,<div>As a Data Engineer</div><div>I need to identify data sources to catalog</div><div>So that I can enable the data assets to be governed by the Data Strategy</div>,New,
User Story,,,Configure data sources for metadata collection,<div>As a Data Engineer</div><div>I need to configure data sources for metadata collection</div><div>So that I can enable a data catalog repository to be created and utilized by the Data Strategy implementation</div>,New,
User Story,,,Register data orchestrator with Azure Purview,<div>As a Data Engineer&nbsp;</div><div>I need to register the data orchestrator with Azure Purview</div><div>So that metadata can be captured to enable data lineage within the Data Strategy</div>,New,
Feature,,Handshaking Service,,"<div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">This feature provides a set of artefacts which will encompass the Handshaking&nbsp;<span style=""box-sizing:border-box;display:inline !important;"">service to support the Data Strategy.</span>&nbsp;The Handshaking service provides self-service data ingestion and orchestration functionality. This is captured in the following capabilities:</span></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><br></span></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">This feature provides a set of artefacts which will encompass a&nbsp;<span style=""box-sizing:border-box;display:inline !important;"">Data Lake capability to support the Data Strategy.</span>&nbsp;This is captured in the following capabilities:</span></span></div><div style=""box-sizing:border-box;""><span style=""box-sizing:border-box;""><div style=""box-sizing:border-box;""><ul style=""box-sizing:border-box;padding:0px 0px 0px 40px;""><li style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Deployment / configuration of Handshaking artifacts to Azure DevOps</div></li><li style=""box-sizing:border-box;""><span style="""">Provisioning of JumpStart Handshaking Azure artifacts realised as Infrastructure-as-Code and PowerShell</span></li></ul></div></span></div></span></span></div><br>",New,
User Story,,,Create Data Factory 'Work Items',"<div>As a Data Engineer, I need to create Data Factory 'Work Items' that will indicate the source data to ingest into our Data Lake landing zone</div>",New,
User Story,,,Pipeline Triggers,"<div>As a Data Engineer, I need to create automated pipelines that will trigger when a Data Factory 'Work Item' is created.</div>",New,
User Story,,,Metadata Management,"<div>As a Data Engineer, I need to create a database that will store metadata from the Data Factory 'Work Item'&nbsp;</div>",New,
Feature,,Control File Service,,"<div>This Feature allows Data Engineers to bring compute into the Data Lakes by reading the JSON files to understand the metadata, and then read the data files</div>",New,
User Story,,,Source Schema Identification,"<div>As a Date Engineer, I need to work with the Customer to identify which source schemas we should keep track of to update for any changes</div>",New,
User Story,,,Automated Schema Versioning,"<div>As a Data Engineer, I need to automate a process to check whether an asset's schema has been changed and if it has, create a new versioned JSON metadata file associated with the data</div>",New,
Feature,,Data Governance,,"<div style=""box-sizing:border-box;"">This feature describes a set of capabilities required to assist with assessing and implementing Data Governance as part of the Data Strategy<span style=""box-sizing:border-box;display:inline !important;"">.<span style=""box-sizing:border-box;"">&nbsp;</span></span>This feature is composed of the following capabilities:</div><div style=""box-sizing:border-box;""><ul style=""box-sizing:border-box;padding:0px 0px 0px 40px;""><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Identification of Data Governance capabilities required to enable the Data Strategy including data lineage, cataloging, and discovery</span></li><li style=""box-sizing:border-box;""><div style=""box-sizing:border-box;""><span style="""">Defining Data Lifecycle management&nbsp;</span><br></div></li><li style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Determining Data Security approaches (anonymisation, redaction, masking)</div></li><li style=""box-sizing:border-box;""><div style=""box-sizing:border-box;"">Creating Data Access policies</div></li></ul></div><br><br>",New,
User Story,,,Identify Data Governance Capabilities,,New,
User Story,,,Define Data Lifecycle Management,,New,
User Story,,,Determine Data Security Approaches,,New,
User Story,,,Creating Data Access Policies,,New,
Epic,Data Migration and Visualization,,,<div>This epic captures the need for data migration and visualization to be performed as part of the Data Strategy definition and implementation</div>,New,
Feature,,Data Visualization,,"<div><span style=""display:inline !important;"">This feature describes the capabilities required to enable visualization of data insights gained as part of the Data Strategy implementation</span></div>",New,
Feature,,Data Migration Assessment,,<div>This feature captures the capabilities required to perform Data Migration assessment activities as part of the Data Strategy implementation&nbsp;</div>,New,
Feature,,Data Migration,,,New,
